path,reading,additional_info,components,,,
images/53_せりうむ.webp,せりうむ,元素　4文字指定,金　市,,,
images/54_からすみ.webp,からすみ,飲食,乾　魚　十,,,
images/55_しゅうねく.webp,しゅうね'く',,卒　刀,,,
images/56_おとうと.webp,おとうと,4文字指定,千,,,
images/57_かったー.webp,かったー,,船　力,,,
images/58_おもう.webp,おも'う',,メ,,,
images/59_えだおろし.webp,えだおろし,,オ,,,
images/60_にちる.webp,にち'る',,言　横,,,
images/61_じょうごむし.webp,じょうごむし,動物　6文字指定,虫　丫　Y,,,
images/62_そぞろく.webp,そぞ'ろく',,利　鬼,,,
images/63_おぼつかない.webp,おぼつかな'い',,ウ　穴　倉,,,
images/64_いいかしぐ.webp,いいかし'ぐ',,言　火,,,
images/65_かなぐる.webp,かなぐ'る',,爪　周,,,
images/66_おおつたのは.webp,おおつたのは,動物,大　虫　戚,,,
images/67_このごろ.webp,このごろ,4文字指定,乃　日,,,
images/68_にちょうのゆみかつらぎかっせん.webp,にちょうのゆみ'かつらぎかっせん',演目・外題,弓　隹　又,,,
images/69_なびく.webp,なび'く',,虎　見,,,
images/70_ころばす.webp,ころ'ばす',,身　逆,,,
"images/71_ざんぶと,ざんぶり.webp",ざんぶと、ざんぶり,,丼　木,,,
images/72_ききがき.webp,ききがき,,門　書,,,
"images/73_うまのかみはさみ,うまのかみばさみ.webp",うまのかみはさみ、うまのかみばさみ,,金　亦,,,
images/74_えんがく.webp,えんがく,4文字指定,ヨ,,,
images/75_おんす.webp,おんす,単位,乃,,,
images/76_きんたる.webp,きんたる,単位　4文字指定,古　言,,,
images/77_とらっく.webp,とらっく,,車　卜,,,
images/78_ぼんのう.webp,ぼんのう,,目,,,
images/79_たまご.webp,たまご,3文字指定,一　タ　夕　伊,,,
images/80_おそれ.webp,おそれ,3文字指定,人,,,
images/81_ほれる.webp,ほ'れる',,言　門　副,,,
images/82_さまたげられる.webp,さまた'げられる',,一,,,
images/83_いたみうれえる.webp,いたみうれ'える',,小　白　ハ,,,
images/84_つきすすむ.webp,つきすす'む',,日　目　一　ひとあし,,,
images/85_かぬち.webp,かぬち,,金　コ　又　一　巾,,,
images/86_みめよい.webp,みめよ'い',3文字指定,三,,,
images/87_おがむ.webp,おが'む',2文字指定,比　人,,,
images/88_おおい.webp,おお'い',,目　刀,,,
images/89_おいる.webp,お'いる',,二　口　火,,,
images/90_なし.webp,な'し',,木,,,
images/91_ただよう.webp,ただよ'う',,口　酔　西　寸,,,
images/92_どいもい.webp,どいもい,チュノム　4文字指定,易　寸　女　台　買,,,
"images/93_あおざい,あおやい.webp",あおざい、あおやい,チュノム　4文字指定,衣　奥　,,,
images/94_ぶんぼーふえ.webp,ぶんぼーふえ,チュノム　6文字指定,米　目　本　牛　甫　化,,,
images/95_のんらー.webp,のんらー,チュノム　4文字指定,竹　女　束　草　目　糸　隹,,,
images/96_ふぉー.webp,ふぉー,チュノム　3文字指定,米　皮　頁,,,
images/97_ちょんかい.webp,ちょんかい,チュノム　5文字指定,王　鼓　女　皿,,,
images/98_かおらう.webp,かおらう,チュノム　4文字指定,高　木　女,,,
images/99_ぬおっくちゃむ.webp,ぬおっくちゃむ,チュノム　7文字指定,氵　若　草　隹,,,
images/100_ばっちゃん.webp,ばっちゃん,チュノム　5文字指定,鉢　土　傷,,,
images/101_ちゅはん.webp,ちゅはん,チュノム　4文字指定,宇　字　漢,,,
images/102_がんねん.webp,がんねん,則天文字,元,,,
images/103_さいしょ.webp,さいしょ,則天文字,士　車　貝　土,,,
images/104_ただしい.webp,ただ'しい',則天文字,千,,,
images/105_ますのすけ.webp,ますのすけ,動物,魚　助,,,
images/106_うるめいわし.webp,うるめいわし,動物,魚　氵　丁　江,,,
"images/107_たか,はやぶさ.webp",たか、はやぶさ,動物,獣　能　鳥,,,
"images/108_てらつつき,てらつき.webp",てらつつき、てらつき,動物,卯　鳥,,,
"images/109_さけのはえ,さかばえ.webp",さけのはえ、さかばえ,動物,虫　夢,,,
images/110_ひとのこ.webp,ひとのこ,動物,虫　歳,,,
images/111_さわら.webp,さわら,動物,魚　く　王　兆,,,
images/112_からす.webp,からす,動物　3文字指定,夕　タ　勿　ヨ　E,,,
"images/113_まなずるかぞうそが,まなづるかぞうそが.webp",まなずる'かぞうそが'、まなづる'かぞうそが',演目・外題,鶴　鳥　頁,,,
images/114_しーぼーぎうむ.webp,しーぼーぎうむ,元素　7文字指定,金　喜,,,
images/115_ふれろびうむ.webp,ふれろびうむ,元素　6文字指定,金　夫,,,
images/116_にほにうむ.webp,にほにうむ,元素　5文字指定,金　弥,,,
images/117_てねしん.webp,てねしん,元素　4文字指定,石　田,,,
"images/118_みりあめーとる,めりあめーとる.webp",みりあめーとる、めりあめーとる,単位　7文字指定,米　万,,,
images/119_せんちあーる.webp,せんちあーる,単位,ウ　女　厘,,,
images/120_かしのき.webp,かしのき,植物・藻類,木　車　氏,,,
images/121_すずみむしろ.webp,すずみむしろ,植物・藻類　6文字指定,草　耳,,,
images/122_きょ.webp,きょ,2文字指定,,,,
"images/123_れい,ぜろ.webp",れい、ぜろ,2文字指定,田　人,,,
images/124_なくなく.webp,なくなく,,水　大,,,
"images/125_ほだ,ほた.webp",ほだ、ほた,,木　一,,,
images/126_い.webp,い,,点,,,
"images/127_てつ,てち,しょう.webp",てつ、てち、しょう,,龍,,,
images/128_なーん.webp,なーん,3文字指定,食　攘,,,
images/129_あした.webp,あした,3文字指定,興　共,,,
images/130_こまごと.webp,こまごと,,言　戯,,,
images/131_あさぼらけ.webp,あさぼらけ,5文字指定,日　来,,,
images/132_ものいみ.webp,ものいみ,4文字指定,ム　山　不　上　口　旧　又,,,
"images/133_せせらぎ,せせらき,せぜらき.webp",せせらぎ、せせらき、せぜらき,4文字指定,火　く　炎,,,
images/134_うまのりつづみ.webp,うまのりつづみ,7文字指定,鼓　卑,,,
images/135_おとり.webp,おとり,,口　タ　夕　缶　系,,,
images/136_ことぶき.webp,ことぶき,,九　百　十　千,,,
images/137_くるわ.webp,くるわ,,宿　革,,,
images/138_どんぶと.webp,どんぶと,,丼　石,,,
images/139_おとがい.webp,おとがい,4文字指定,肉　門　市,,,
"images/140_ぼさつ,ささぼさつ.webp",ぼさつ、ささぼさつ,,草,,,
images/141_てづくり.webp,てづくり,,草　田,,,
images/142_ひながた.webp,ひながた,,衣　口　面,,,
images/143_とな.webp,とな,,足　象,,,
images/144_くつのきびす.webp,くつのきびす,6文字指定,革　殿,,,
images/145_おか.webp,おか,2文字指定,,,,
images/146_くぼて.webp,くぼて,3文字指定,草　氵,,,
images/147_あられ.webp,あられ,,丸　雪,,,
images/148_まちぎみ.webp,まちぎみ,4文字指定,天　王,,,
images/149_あらがね.webp,あらがね,4文字指定,金　串,,,
images/150_こいしい.webp,こい'しい',,爪　呂,,,
images/151_いそぎ.webp,いそ'ぎ',,虱　面,,,
images/152_うまい.webp,うま'い',,一　口,,,
images/153_かくれる.webp,かく'れる',,,,,
images/154_よろこぶ.webp,よろこ'ぶ',,糸　ノ　ひとあし,,,
images/155_もうかる.webp,もう'かる',,乃　多,,,
images/156_ふるえる.webp,ふる'える',,雨　メ　火　云　,,,
images/157_ひとしい.webp,ひと'しい',,,,,
images/158_うらない.webp,うらな'い',,卜,,,
images/159_したるし.webp,したる'し',,人　悲　西,,,
images/160_あらい.webp,あら'い',,土,,,
images/161_たける.webp,たけ'る',,坐,,,
images/162_もとる.webp,もと'る',,惑,,,
images/163_つぐ.webp,つ'ぐ',,人,,,
images/164_ぬれる.webp,ぬ'れる',,北　究　ム,,,
images/165_さげる.webp,さ'げる',,二,,,
images/166_わかい.webp,わか'い',,山　又　,,,
images/167_かぐわしい.webp,かぐわ'しい',,木,,,
images/168_よじる.webp,よ'じる',,八,,,
images/169_ゆれる.webp,ゆ'れる',,手　言,,,
images/170_ひとしい.webp,ひと'しい',,月,,,
images/171_わきまえる.webp,わきま'える',,メ　又,,,
images/172_くつがえりふす.webp,くつがえりふ'す',,面　足,,,
images/173_くじりえる.webp,くじり'える',,白　八　りっとう,,,
images/174_さかんにもえる.webp,さかんにも'える',,火　呉,,,
images/175_はらばう.webp,はらば'う',3文字指定,足　副,,,
images/176_たばかる.webp,たばか'る',,男,,,
images/177_くろい.webp,くろ'い',,ム,,,
images/178_はなやか.webp,はな'やか',,山,,,
images/179_かむる.webp,かむ'る',,瓜　内,,,
images/180_ひらく.webp,ひら'く',,ヌ　ロ　口,,,
images/181_かつ.webp,か'つ',,占,,,
images/182_いながら.webp,いなが'ら',,死　土,,,
images/183_かいそぐ.webp,かいそ'ぐ',,草　口　文,,,
images/184_いれる.webp,い'れる',,口　舌,,,
images/185_かねる.webp,か'ねる',,草　人,,,
images/186_くろい.webp,くろ'い',,白　口,,,
images/187_もうす.webp,もう'す',,ヨ,,,
images/188_みちる.webp,み'ちる',,口　影,,,
"images/189_なす,せす.webp",な'す'、せ'す',,ヨ,,,
images/190_あさい.webp,あさ'い',,氵　興　大　巳,,,
images/191_かわく.webp,かわ'く',,自　分　日,,,
images/192_なぞらえる.webp,なぞら'える',,亠　口　日　干,,,
images/193_どくづく.webp,どく'づく',,竹　口　日　りっとう,,,
images/194_たのしい.webp,たの'しい',,身　安　吉,,,
images/195_のっとる.webp,のっと'る',,口　困,,,
images/196_しす.webp,し'す',,沸　更　生,,,
images/197_そぐ.webp,そ'ぐ',,爪　山　未　,,,
images/198_うずたかい.webp,うずたか'い',,山,,,
images/199_がとん.webp,がとん,,天　地,,,
images/200_おもおも.webp,おもおも,4文字指定,四　八　土,,,
images/201_ちょべんたいん.webp,ちょべんたいん,チュノム　7文字指定,助　市　土　糸　言　城,,,
images/202_さくらそうついのかがもん.webp,'さくらそうついの'かがもん,,青　巴　定,,,
images/203_むつましづきれんりのたまつばき.webp,'むつましづきれんりの'たまつばき,,木　春　心,,,
images/204_たしなみ.webp,たしな'み',,人　志,,,
images/205_ふさがる.webp,ふさ'がる',,口　巴,,,
images/206_まめまめしい.webp,まめまめ'しい',,言　草　日　人,,,
"images/207_ほこのさき,ほこさき.webp",ほこのさき、ほこさき,,金　客,,,
images/208_もじきり.webp,もじきり,4文字指定,金　上,,,
"images/209_なり,また.webp",なり、また,2文字指定,点　へ,,,
images/210_ぶんしょう.webp,ぶんしょう,,章,,,
images/211_かたくみ.webp,かたくみ,植物・藻類　4文字指定,木　至　力　カ,,,
images/212_もちつつじ.webp,もちつつじ,植物・藻類　5文字指定,木　巾,,,
images/213_くまはじかみ.webp,くまはじかみ,植物・藻類,木　敗,,,
images/214_ねずこ.webp,ねずこ,植物・藻類　3文字指定,木　鼠,,,
images/215_さるかき.webp,さるかき,植物・藻類,草　耳　分,,,
images/216_ばいんみー.webp,ばいんみー,チュノム　5文字指定,餅　面,,,
images/217_ちゃおとむ.webp,ちゃおとむ,チュノム　5文字指定,魚　刀　口　心,,,
images/218_だんぐえっと.webp,だんぐえっと,チュノム　6文字指定,弓　口　月,,,
"images/219_さくなぎ,さくなき.webp",さくなぎ、さくなき,動物,女　民　日　鳥,,,
images/220_かまつか.webp,かまつか,動物,魚　尺,,,
images/221_いなだ.webp,いなだ,動物,魚　水,,,
images/222_くろひょう.webp,くろひょう,動物　5文字指定,獣　敦,,,
images/223_とつさかのじょうつるのすごもり.webp,'とつさかのじょう'つるのすごもり,演目・外題,雨　隹　鳥　果　夫,,,
images/224_ことしほうねんなにわのにぎわい.webp,'ことしほうねん'なにわのにぎわい,演目・外題,花　浪　賑　貝　辰,,,
images/225_しのかげさるもしちしゃく.webp,しのかげ'さるもしちしゃく',演目・外題,回　影,,,
images/226_ぎゅるてん.webp,ぎゅるてん,単位　5文字指定,手　点,,,
images/227_くんしん.webp,くんしん,則天文字,平　口　忠　一,,,
images/228_あさくる.webp,あさ'くる',,手　ウ　タ　夕,,,
images/229_あろん.webp,あろん,3文字指定,阿　隆　,,,
images/230_たけだけしい.webp,たけだけ'しい',,至,,,
images/231_はれる.webp,は'れる',,月　白,,,
"images/232_えだなし,えだぬき,えぐなし.webp",えだなし、えだぬき、えぐなし,4文字指定,十,,,
images/233_あくたはらう.webp,あくたはら'う',,手　土　異,,,
images/234_おびきだす.webp,おびきだ'す',,手　夫　車,,,
images/235_あむ.webp,あ'む',,人　く,,,
"images/236_たちさまよう,たちやすらう.webp",たちさまよ'う'、たちやすら'う',,人　黒,,,
images/237_ともえ.webp,ともえ,,水　入,,,
images/238_ちからくらべ.webp,ちからくらべ,6文字指定,手　角　力　カ,,,
images/239_やまのふもと.webp,やまのふもと,,山　脚,,,
"images/240_おおいちざ,おういちざ.webp",おおいちざ、おういちざ,嘘字,客　敵　叶,,,
"images/241_さすらえありく,さすらいあるく.webp",さすらえあり'く'、さすらいある'く',,彳　屋　行,,,
images/242_みどりご.webp,みどりご,,冫　見,,,
images/243_よこべ.webp,よこべ,,瓦　ム,,,
images/244_かっぱ.webp,かっぱ,嘘字,皿　頭,,,
images/245_やぼてん.webp,やぼてん,嘘字,金　死,,,
"images/246_のほぎり,のこぎり.webp",のほぎり、のこぎり,,金　義,,,
"images/247_たちがみ,たてがみ.webp",たちがみ、たてがみ,4文字指定,長　ヨ,,,
images/248_すたちすちっく.webp,すたちすちっく,7文字指定,寸　タ　夕　知　久,,,
images/249_かくれる.webp,かく'れる',,入　一,,,
images/250_さえずる.webp,さえず'る',,口　開,,,
images/251_ひかげばしら.webp,ひかげばしら,字通訓　6文字指定,勢　木,,,
images/252_かさねぐつ.webp,かさねぐつ,字通訓　5文字指定,臼　鳥,,,
images/253_もののけ.webp,もののけ,字通訓　4文字指定,止　自　巳,,,
images/254_はなづな.webp,はなづな,字通訓　4文字指定,糸　引,,,
images/255_ひらとばり.webp,ひらとばり,字通訓　5文字指定,亦　巾,,,
images/256_あつさあたり.webp,あつさあたり,字通訓　6文字指定,日　句　人,,,
images/257_ぼうふら.webp,ぼうふら,字通訓　4文字指定,胃　口　月,,,
images/258_ほうおう.webp,ほうおう,字通訓　4文字指定,宛　鳥,,,
images/259_さいづちまげ.webp,さいづちまげ,6文字指定　元字通訓問題。,鬼　隹,,,
images/260_むぎわら.webp,むぎわら,4文字指定　元字通訓問題。,禾　口　月,,,
images/261_くろひつじ.webp,くろひつじ,動物　5文字指定　元字通訓問題。,殳　羊,,,
images/262_ぶたごや.webp,ぶたごや,字通訓　4文字指定,口　啄,,,
images/263_あまりもの.webp,あまりもの,字通訓　5文字指定,食　唆　ム,,,
images/264_うそぶく.webp,うそぶ'く',字通訓,九虎,,,
images/265_のみほす.webp,のみほ'す',字通訓,焦　西,,,
images/266_いそしむ.webp,いそ'しむ',字通訓,齋　妻,,,
images/267_へりうむ.webp,へりうむ,元素　4文字指定,気　亥,,,
images/268_ねおん.webp,ねおん,元素　3文字指定,気　乃,,,
images/269_ようそ.webp,ようそ,元素　3文字指定,石　典,,,
images/270_ほるみうむ.webp,ほるみうむ,元素　5文字指定,鉄　火,,,
images/271_すいぎん.webp,すいぎん,元素　4文字指定,エ　工　水,,,
"images/272_ねんげつ,としつき.webp",ねんげつ、としつき,則天文字,カ　力　出,,,
"images/273_つきひ,がっぴ,つくひ.webp",つきひ、がっぴ、つくひ,則天文字　3文字指定,口　子　乙,,,
images/274_せんてぃえん.webp,せんてぃえん,チュノム　6文字指定,竹　生　金　銭,,,
images/275_けんばう.webp,けんばう,チュノム　4文字指定,竹　虎　七　文　票　瓜,,,
images/276_じだいせわすいこでん.webp,じだいせわ'すいこでん',演目・外題,月　殳　皿　世　話,,,
images/277_かたみうちたりきのやきつぎ.webp,かたみうち'たりきのやきつぎ',演目・外題,身　半　言　寸,,,
images/278_いちかど.webp,いちかど,地名・建造物,門　慮,,,
images/279_しどろもどろ.webp,しどろもどろ,6文字指定,糸　上　下,,,
"images/280_うくつく,うぐつく.webp",うくつ'く'、うぐつ'く',,卓　辛　立　十,,,
images/281_きてかえるにしきのわかやか.webp,きてかえる'にしきのわかやか',演目・外題,極　衣　翻,,,
images/282_かどいでよしなごりのみやげ.webp,かどいでよし'なごりのみやげ',演目・外題,門　壽,,,
"images/283_あまのはしだて,はしだて.webp",あまのはしだて、はしだて,地名・建造物,日　巾　しんにょう,,,
"images/284_あらきばり,あらきはり.webp",あらきばり、あらきはり,5文字指定,爪　田,,,
"images/285_あつつかう,あとつごう.webp",あつつかう、あとつごう,,同　瞬　足,,,
images/286_たなびく.webp,たなび'く',,小　火,,,
images/287_ふるまう.webp,ふるま'う',,言　及,,,
images/288_うちかえす.webp,うちかえ'す',,天　しんにょう,,,
"images/289_はしたない,はしたなし.webp",はしたない、はしたなし,,鬼　七　八,,,
images/290_ながい.webp,なが'い',,上　先,,,
images/291_つくりわらい.webp,つくりわら'い',字通訓,口　伊,,,
images/292_ふきながし.webp,ふきながし,字通訓　5文字指定,方　人,,,
images/293_じがばち.webp,じがばち,動物　4文字指定　元字通訓問題。,虫,,,
images/294_さけさかな.webp,さけさかな,字通訓　5文字指定,食　喜,,,
images/295_かわらなでしこ.webp,かわらなでしこ,字通訓　7文字指定,草　慮　しんにょう,,,
images/296_こくもつぐら.webp,こくもつぐら,字通訓　6文字指定,口　禾,,,
images/297_はねおどる.webp,はねおど'る',字通訓,獣　目　一　口　環,,,
images/298_むらさきそう.webp,むらさきそう,字通訓　6文字指定,草　此,,,
images/299_おやばね.webp,おやばね,字通訓　4文字指定,羽　是,,,
images/300_とびあがる.webp,とびあ'がる',元字通訓問題。,者　羽,,,
images/301_しわがれごえ.webp,しわがれごえ,字通訓　6文字指定,斬　斤　病,,,
images/302_うっとりする.webp,うっとり'する',字通訓,小　尚,,,
images/303_きょうかたびら.webp,きょうかたびら,字通訓　7文字指定,衣　逐,,,
images/304_からしあえ.webp,からしあえ,字通訓　5文字指定,茎　全,,,
images/305_みそかづき.webp,みそかづき,字通訓　5文字指定,月　兆,,,
images/306_ものみべい.webp,ものみべい,字通訓　5文字指定,卑,,,
images/307_あげぼり.webp,あげぼり,字通訓　4文字指定,王,,,
images/308_むしまんじゅう.webp,むしまんじゅう,字通訓　7文字指定,食　字,,,
images/309_けしきばむ.webp,けしき'ばむ',字通訓,沸　色,,,
images/310_たちさる.webp,たちさ'る',字通訓,萬　しんにょう,,,
images/311_いしもち.webp,いしもち,動物　4文字指定,魚　凶,,,
images/312_あしはらかに.webp,あしはらかに,動物,虫　樹,,,
images/313_あまびこ.webp,あまびこ,動物,虫　雨,,,
images/314_たばこ.webp,たばこ,植物・藻類,草　快,,,
images/315_こもくさ.webp,こもくさ,植物・藻類,草　門　唯,,,
images/316_わらび.webp,わらび,植物・藻類,草　祭　魚,,,
images/317_ここにきわまるごじんのそなえ.webp,ここにきわまる'ごじんのそなえ',演目・外題,北　西　極,,,
images/318_さまりうむ.webp,さまりうむ,元素　5文字指定,金　彡　杉,,,
images/319_だらくま.webp,だらくま,単位　4文字指定,乃,,,
images/320_さかだち.webp,さかだち,嘘字,足,,,
images/321_うえる.webp,う'える',,マ　口　米　禾,,,
images/322_ふせる.webp,ふ'せる',,穴　ウ　夏,,,
images/323_ただす.webp,ただ'す',,弓　二　ニ,,,
images/324_とおい.webp,とお'い',,彳　行　歩く　日,,,
images/325_ある.webp,あ'る',,幼　景,,,
images/326_ところ.webp,ところ,3文字指定,ノ　竹,,,
images/327_よわい.webp,よわい,3文字指定,幽　臼,,,
images/328_まごころ.webp,まごころ,4文字指定,日,,,
images/329_いぬい.webp,いぬい,3文字指定,西　北,,,
images/330_かみのすえ.webp,かみのすえ,,長　彡　尚,,,
images/331_つっかけ.webp,つっかけ,字通訓　4文字指定,徒,,,
images/332_しつけうば.webp,しつけうば,字通訓　5文字指定,加　女,,,
images/333_くもざる.webp,くもざる,字通訓　4文字指定,虫　隹,,,
images/334_おにやらい.webp,おにやらい,字通訓　5文字指定,亥　殳,,,
images/335_きょうかたびら.webp,きょうかたびら,字通訓　7文字指定,鬼　衣,,,
images/336_まつやに.webp,まつやに,字通訓　4文字指定,木　解,,,
images/337_まるきばし.webp,まるきばし,字通訓　5文字指定,木　隹,,,
images/338_どばし.webp,どばし,字通訓　3文字指定,土　巳,,,
images/339_こくたん.webp,こくたん,字通訓　4文字指定,黒　タ　夕,,,
images/340_ころがりふす.webp,ころがりふ'す',字通訓,タ　夕,,,
images/341_あんちもん.webp,あんちもん,元素　5文字指定,金　弟,,,
"images/342_あまのはしだて,はしだて.webp",あまのはしだて、はしだて,地名・建造物,日　しんにょう,,,
images/343_その.webp,そ'の',,日,,,
images/344_うかがう.webp,うかが'う',,人　聖,,,
images/345_なげく.webp,なげ'く',,乙　口,,,
images/346_なげく.webp,なげ'く',,北　言,,,
images/347_ふく.webp,ふ'く',,火　人　口　冊,,,
images/348_くにぐに.webp,くにぐに,,秦,,,
images/349_くしゃみ.webp,くしゃみ,4文字指定,口　帝　頁,,,
images/350_ためいき.webp,ためいき,4文字指定,口　必,,,
images/351_ひざかけ.webp,ひざかけ,4文字指定　元字通訓問題。,市,,,
images/352_ふなしうずら.webp,ふなしうずら,動物　6文字指定　元字通訓問題。,日　安　鳥,,,
images/353_ははっちょう.webp,ははっちょう,字通訓　6文字指定,句　鳥,,,
images/354_ひめじねずみ.webp,ひめじねずみ,動物,姫　鼠　白　青,,,
images/355_ゆやなぎ.webp,ゆやなぎ,植物・藻類,木　賽,,,
images/356_びあほい.webp,びあほい,チュノム　4文字指定,西　卑　希　気　米,,,
images/357_じゃんく.webp,じゃんく,4文字指定,舟　宗,,,
images/358_こしぼね.webp,こしぼね,4文字指定,骨　寛,,,
"images/359_わかい,いとけない.webp",わか'い'、いとけな'い',,木　遅い,,,
images/360_さかさまにたつ.webp,さかさまにた'つ',,五　しんにょう,,,
images/361_おどろきみる.webp,おどろきみ'る',字通訓,目,,,
images/362_くどくどしい.webp,くどくど'しい',字通訓,言,,,
"images/363_ひきかける,ひっかける.webp",ひきか'ける'、ひっか'ける',3文字指定　元字通訓問題。,手　口　品,,,
images/364_おりたたむ.webp,おりたた'む',字通訓　4文字指定,手　習,,,
images/365_ぬけげ.webp,ぬけげ,字通訓　3文字指定,長　彡　春,,,
images/366_しじゅうから.webp,しじゅうから,動物,白　鳥,,,
images/367_ぎぎ.webp,ぎぎ,動物,魚　雨,,,
images/368_おうそう.webp,おうそう,動物　4文字指定,由　甲,,,
images/369_からかこ.webp,からかこ,動物　4文字指定,魚　同　ヌ,,,
images/370_ひお.webp,ひお,動物,魚　イ　ト　人　卜,,,
images/371_たばこ.webp,たばこ,植物・藻類,草　女,,,
images/372_さきくさ.webp,さきくさ,植物・藻類,草　易,,,
images/373_はりぎり.webp,はりぎり,植物・藻類,木　仙　人　山,,,
images/374_すぎ.webp,すぎ,植物・藻類,木　自　死,,,
images/375_こやおぎ.webp,こやおぎ,植物・藻類,草　人　示　麻　糸　花,,,
images/376_さむはらじんじゃ.webp,さむはらじんじゃ,地名・建造物,手　合　辛　手　ム　口　手　包　口　神社,,,
images/377_よせてごぎょうてぶりのふつつか.webp,よせてごぎょう'てぶりのふつつか',演目・外題,隹　木　五　行,,,
images/378_やまとのくにめおとざか.webp,'やまとのくに'めおとざか,演目・外題,山　夫　登,,,
images/379_けいせいなずなのせっく.webp,けいせい'なずなのせっく',演目・外題,七　草　馬　白,,,
images/380_いたずらがみいろのきくずき.webp,いたずらがみ'いろのきくずき',演目・外題,長　彡　走　,,,
images/381_あさまがだけいろのやまかぜ.webp,'あさまがだけ'いろのやまかぜ,演目・外題,色　山　卸,,,
images/382_じすぷろしうむ.webp,じすぷろしうむ,元素　7文字指定,金　商,,,
images/383_るてにうむ.webp,るてにうむ,元素　5文字指定,金　了,,,
images/384_るびじうむ.webp,るびじうむ,元素　5文字指定,金　如　女　口,,,
images/385_るてちうむ.webp,るてちうむ,元素　5文字指定,金　魚　日,,,
images/386_ちょろんちく.webp,ちょろん'ちく',チュノム　4文字指定,助　市　文　口　大,,,
images/387_だっぬぅ.webp,だっぬぅ,チュノム　4文字指定,土　坦　旦　氵　若,,,
images/388_ほっとくっとろん.webp,ほっとくっとろん,チュノム　8文字指定,木　亥　鳥　骨　卵,,,
images/389_おって.webp,おって,嘘字,走,,,
images/390_ほまち.webp,ほまち,嘘字,金　波　女,,,
images/391_にこにこ.webp,にこにこ,嘘字,金　遣　手,,,
images/392_げんき.webp,げんき,嘘字,人　夏,,,
images/393_うわき.webp,うわき,嘘字,人　春,,,
